"Statistic Label","CensusYear","Sex","Age Group","Towns","UNIT","VALUE"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Midleton, Co Cork","Number","16"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Mitchelstown, Co Cork","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Carrigtwohill, Co Cork","Number","10"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Fermoy, Co Cork","Number","5"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Rathcormac, Co Cork","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Crosshaven, Co Cork","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Cobh, Co Cork","Number","15"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Passage West-Monkstown, Co Cork","Number","5"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Watergrasshill, Co Cork","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Carrigaline, Co Cork","Number","16"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kinsale, Co Cork","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Mallow, Co Cork","Number","17"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Charleville, Co Cork","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Bandon, Co Cork","Number","10"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Clonakilty, Co Cork","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kanturk, Co Cork","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Macroom, Co Cork","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Millstreet, Co Cork","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Dunmanway, Co Cork","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Skibbereen, Co Cork","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Bantry, Co Cork","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Castleisland, Co Kerry","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Listowel, Co Kerry","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Killarney, Co Kerry","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kenmare, Co Kerry","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ballybunion, Co Kerry","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Tralee, Co Kerry","Number","22"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Killorglin, Co Kerry","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Dingle-Daingean Uí Chuis, Co Kerry","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Limerick city and suburbs, Counties Limerick & Clare","Number","82"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Caherconlish, Co Limerick","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Castleconnell, Co Limerick","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Annacotty, Co Limerick","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kilmallock, Co Limerick","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Newcastle West, Co Limerick","Number","12"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Abbeyfeale, Co Limerick","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Roscrea, Co Tipperary","Number","8"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Thurles, Co Tipperary","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Templemore, Co Tipperary","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Nenagh, Co Tipperary","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Newport, Co Tipperary","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ballina, Co Tipperary","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Carrick-on-Suir, Co Tipperary","Number","7"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Fethard, Co Tipperary","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Clonmel, Counties Tipperary & Waterford","Number","20"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Cashel, Co Tipperary","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Cahir, Co Tipperary","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Tipperary, Co Tipperary","Number","8"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Waterford city and suburbs, Counties Waterford & Kilkenny","Number","43"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Dunmore East, Co Waterford","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Tramore, Co Waterford","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Portlaw, Co Waterford","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Dungarvan, Co Waterford","Number","11"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Galway city and suburbs, Co Galway","Number","46"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ballinasloe, Co Galway","Number","12"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Portumna, Co Galway","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Loughrea, Co Galway","Number","9"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Athenry, Co Galway","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Gort, Co Galway","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Tuam, Co Galway","Number","13"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Oranmore, Co Galway","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Baile Chláir, Co Galway","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Bearna, Co Galway","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Maigh Cuilinn, Co Galway","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Oughterard, Co Galway","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Carrick-On-Shannon, Counties Leitrim & Roscommon","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Manorhamilton, Co Leitrim","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ballyhaunis, Co Mayo","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Claremorris, Co Mayo","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ballina, Co Mayo","Number","11"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ballinrobe, Co Mayo","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Castlebar, Co Mayo","Number","13"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Westport, Co Mayo","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Roscommon, Co Roscommon","Number","13"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Boyle, Co Roscommon","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Castlerea, Co Roscommon","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ballaghaderreen, Co Roscommon","Number","5"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Sligo, Co Sligo","Number","14"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Collooney, Co Sligo","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ballysadare, Co Sligo","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ballymote, Co Sligo","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Strandhill, Co Sligo","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Tubbercurry, Co Sligo","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kingscourt, Co Cavan","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Mullagh, Co Cavan","Number","5"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Bailieborough, Co Cavan","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Virginia, Co Cavan","Number","7"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Cootehill, Co Cavan","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ballyjamesduff, Co Cavan","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Cavan, Co Cavan","Number","9"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Belturbet, Co Cavan","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Carndonagh, Co Donegal","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Buncrana, Co Donegal","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Lifford, Co Donegal","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Convoy, Co Donegal","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Letterkenny, Co Donegal","Number","15"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ballybofey-Stranorlar, Co Donegal","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Donegal, Co Donegal","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ballyshannon, Co Donegal","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Bundoran, Co Donegal","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Carrickmacross, Co Monaghan","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Castleblayney, Co Monaghan","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Monaghan, Co Monaghan","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Clones, Co Monaghan","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","State","Number","3744"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Other towns with a population between 1,000 - 1,499","Number","114"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Other towns with a population under 500","Number","125"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Other towns with a population between 500 - 999","Number","108"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Remainder of country","Number","757"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Tullow, Co Carlow","Number","13"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Carlow, Counties Carlow & Laois","Number","68"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Muinebeag (Bagenalstown), Co Carlow","Number","7"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Dublin city and suburbs, Counties Dublin & Meath","Number","1906"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Saggart, Co Dublin","Number","6"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Rathcoole, Co Dublin","Number","10"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Newcastle, Co Dublin","Number","12"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Rush, Co Dublin","Number","31"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Skerries, Co Dublin","Number","17"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Portmarnock, Co Dublin","Number","23"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Donabate, Co Dublin","Number","14"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Malahide, Co Dublin","Number","16"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Lusk, Co Dublin","Number","28"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Balrothery, Co Dublin","Number","5"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Balbriggan, Co Dublin","Number","78"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Kinsealy-Drinan, Co Dublin","Number","13"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Swords, Co Dublin","Number","76"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Leixlip, Co Kildare","Number","22"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Celbridge, Co Kildare","Number","30"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Kill, Co Kildare","Number","3"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Maynooth, Co Kildare","Number","26"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Naas, Co Kildare","Number","44"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Sallins, Co Kildare","Number","10"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Kilcock, Counties Kildare & Meath","Number","22"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Clane, Co Kildare","Number","15"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Kilcullen, Co Kildare","Number","5"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Prosperous, Co Kildare","Number","3"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Newbridge, Co Kildare","Number","47"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Castledermot, Co Kildare","Number","3"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Allenwood, Co Kildare","Number","1"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Kildare, Co Kildare","Number","14"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Derrinturn, Co Kildare","Number","9"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Athy, Co Kildare","Number","33"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Rathangan, Co Kildare","Number","6"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Monasterevin, Co Kildare","Number","19"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Graiguenamanagh-Tinnahinch, Counties Kilkenny & Carlow","Number","3"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Thomastown, Co Kilkenny","Number","7"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Kilkenny, Co Kilkenny","Number","45"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Callan, Co Kilkenny","Number","4"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Portarlington, Counties Laois & Offaly","Number","30"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Portlaoise, Co Laois","Number","56"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Mountmellick, Co Laois","Number","21"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Abbeyleix, Co Laois","Number","0"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Mountrath, Co Laois","Number","10"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Edgeworthstown, Co Longford","Number","5"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Ballymahon, Co Longford","Number","1"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Longford, Co Longford","Number","29"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Lanesborough-Ballyleague, Counties Roscommon & Longford","Number","2"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Carlingford, Co Louth","Number","6"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Clogherhead, Co Louth","Number","4"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Termonfeckin, Co Louth","Number","6"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Drogheda, Counties Louth & Meath","Number","83"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Dunleer, Co Louth","Number","4"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Dundalk, Co Louth","Number","96"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Tullyallen, Co Louth","Number","5"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Ardee, Co Louth","Number","17"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Number","38"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Stamullen, Co Meath","Number","3"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Ashbourne, Co Meath","Number","32"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Duleek, Co Meath","Number","13"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Ratoath, Co Meath","Number","12"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Dunboyne, Co Meath","Number","16"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Dunshaughlin, Co Meath","Number","12"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Navan, Co Meath","Number","54"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Trim, Co Meath","Number","15"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Enfield, Co Meath","Number","11"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Kells, Co Meath","Number","10"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Athboy, Co Meath","Number","2"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Longwood, Co Meath","Number","4"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Ballivor, Co Meath","Number","1"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Edenderry, Co Offaly","Number","20"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Tullamore, Co Offaly","Number","43"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Clara, Co Offaly","Number","7"
"Population with a disability to a great extent","2022","Male","5 - 9 years","Birr, Co Offaly","Number","18"
