"Statistic Label","Census Year","Sex","Age Group","UNIT","VALUE"
"Umemployment rate for total population","2022","Both sexes","35 - 39 years","%","7.4"
"Umemployment rate for total population","2022","Both sexes","40 - 44 years","%","6.7"
"Umemployment rate for total population","2022","Both sexes","45 - 49 years","%","6.7"
"Umemployment rate for total population","2022","Both sexes","50 - 54 years","%","7.1"
"Umemployment rate for total population","2022","Both sexes","55 - 59 years","%","7.9"
"Umemployment rate for total population","2022","Both sexes","60 - 64 years","%","9.9"
"Umemployment rate for total population","2022","Both sexes","65 years and over","%","3.8"
"Umemployment rate for total population","2022","Male","15 - 19 years","%","24.5"
"Umemployment rate for total population","2022","Male","15 years and over","%","8.6"
"Umemployment rate for total population","2022","Male","20 - 24 years","%","14.3"
"Umemployment rate for total population","2022","Male","25 - 29 years","%","10.3"
"Umemployment rate for total population","2022","Male","30 - 34 years","%","8.7"
"Umemployment rate for total population","2022","Male","35 - 39 years","%","7.6"
"Umemployment rate for total population","2022","Male","40 - 44 years","%","6.9"
"Umemployment rate for total population","2022","Male","45 - 49 years","%","6.9"
"Umemployment rate for total population","2022","Male","50 - 54 years","%","7.5"
"Umemployment rate for total population","2022","Male","55 - 59 years","%","8.2"
"Umemployment rate for total population","2022","Male","60 - 64 years","%","9.9"
"Umemployment rate for total population","2022","Male","65 years and over","%","3.3"
"Umemployment rate for total population","2022","Female","15 - 19 years","%","23.8"
"Umemployment rate for total population","2022","Female","15 years and over","%","8"
"Umemployment rate for total population","2022","Female","20 - 24 years","%","12.6"
"Umemployment rate for total population","2022","Female","25 - 29 years","%","8.7"
"Umemployment rate for total population","2022","Female","30 - 34 years","%","8.1"
"Umemployment rate for total population","2022","Female","35 - 39 years","%","7.3"
"Umemployment rate for total population","2022","Female","40 - 44 years","%","6.5"
"Umemployment rate for total population","2022","Female","45 - 49 years","%","6.4"
"Umemployment rate for total population","2022","Female","50 - 54 years","%","6.7"
"Umemployment rate for total population","2022","Female","55 - 59 years","%","7.6"
"Umemployment rate for total population","2022","Female","60 - 64 years","%","9.9"
"Umemployment rate for total population","2022","Female","65 years and over","%","4.9"
"Unemployment rate for population with a disability","2022","Both sexes","15 - 19 years","%","34"
"Unemployment rate for population with a disability","2022","Both sexes","15 years and over","%","13.4"
"Unemployment rate for population with a disability","2022","Both sexes","20 - 24 years","%","19.2"
"Unemployment rate for population with a disability","2022","Both sexes","25 - 29 years","%","14.2"
"Unemployment rate for population with a disability","2022","Both sexes","30 - 34 years","%","13.1"
"Unemployment rate for population with a disability","2022","Both sexes","35 - 39 years","%","11.9"
"Unemployment rate for population with a disability","2022","Both sexes","40 - 44 years","%","11.8"
"Unemployment rate for population with a disability","2022","Both sexes","45 - 49 years","%","11.9"
"Unemployment rate for population with a disability","2022","Both sexes","50 - 54 years","%","12.8"
"Unemployment rate for population with a disability","2022","Both sexes","55 - 59 years","%","13.8"
"Unemployment rate for population with a disability","2022","Both sexes","60 - 64 years","%","15.7"
"Unemployment rate for population with a disability","2022","Both sexes","65 years and over","%","6.1"
"Unemployment rate for population with a disability","2022","Male","15 - 19 years","%","36.5"
"Unemployment rate for population with a disability","2022","Male","15 years and over","%","14.3"
"Unemployment rate for population with a disability","2022","Male","20 - 24 years","%","22.1"
"Unemployment rate for population with a disability","2022","Male","25 - 29 years","%","16.8"
"Unemployment rate for population with a disability","2022","Male","30 - 34 years","%","14.7"
"Unemployment rate for population with a disability","2022","Male","35 - 39 years","%","13.5"
"Unemployment rate for population with a disability","2022","Male","40 - 44 years","%","12.8"
"Unemployment rate for population with a disability","2022","Male","45 - 49 years","%","12.7"
"Unemployment rate for population with a disability","2022","Male","50 - 54 years","%","13.6"
"Unemployment rate for population with a disability","2022","Male","55 - 59 years","%","14.2"
"Unemployment rate for population with a disability","2022","Male","60 - 64 years","%","15.4"
"Unemployment rate for population with a disability","2022","Male","65 years and over","%","4.9"
"Unemployment rate for population with a disability","2022","Female","15 - 19 years","%","31.4"
"Unemployment rate for population with a disability","2022","Female","15 years and over","%","12.5"
"Unemployment rate for population with a disability","2022","Female","20 - 24 years","%","16.6"
"Unemployment rate for population with a disability","2022","Female","25 - 29 years","%","12.1"
"Unemployment rate for population with a disability","2022","Female","30 - 34 years","%","11.6"
"Unemployment rate for population with a disability","2022","Female","35 - 39 years","%","10.4"
"Unemployment rate for population with a disability","2022","Female","40 - 44 years","%","10.9"
"Unemployment rate for population with a disability","2022","Female","45 - 49 years","%","11.1"
"Unemployment rate for population with a disability","2022","Female","50 - 54 years","%","11.7"
"Unemployment rate for population with a disability","2022","Female","55 - 59 years","%","13.3"
"Unemployment rate for population with a disability","2022","Female","60 - 64 years","%","16"
"Unemployment rate for population with a disability","2022","Female","65 years and over","%","9.1"
"Unemployment rate for population with a disability to a great extent","2022","Both sexes","15 - 19 years","%","40.8"
"Unemployment rate for population with a disability to a great extent","2022","Both sexes","15 years and over","%","22"
"Unemployment rate for population with a disability to a great extent","2022","Both sexes","20 - 24 years","%","26.5"
"Unemployment rate for population with a disability to a great extent","2022","Both sexes","25 - 29 years","%","22.3"
"Unemployment rate for population with a disability to a great extent","2022","Both sexes","30 - 34 years","%","21.2"
"Unemployment rate for population with a disability to a great extent","2022","Both sexes","35 - 39 years","%","19.2"
"Unemployment rate for population with a disability to a great extent","2022","Both sexes","40 - 44 years","%","20.1"
"Unemployment rate for population with a disability to a great extent","2022","Both sexes","45 - 49 years","%","20.9"
"Unemployment rate for population with a disability to a great extent","2022","Both sexes","50 - 54 years","%","21.5"
"Unemployment rate for population with a disability to a great extent","2022","Both sexes","55 - 59 years","%","23.1"
"Unemployment rate for population with a disability to a great extent","2022","Both sexes","60 - 64 years","%","25.7"
"Unemployment rate for population with a disability to a great extent","2022","Both sexes","65 years and over","%","13.4"
"Unemployment rate for population with a disability to a great extent","2022","Male","15 - 19 years","%","44.2"
"Unemployment rate for population with a disability to a great extent","2022","Male","15 years and over","%","23.8"
"Unemployment rate for population with a disability to a great extent","2022","Male","20 - 24 years","%","31.5"
"Unemployment rate for population with a disability to a great extent","2022","Male","25 - 29 years","%","26.5"
"Unemployment rate for population with a disability to a great extent","2022","Male","30 - 34 years","%","24.7"
"Unemployment rate for population with a disability to a great extent","2022","Male","35 - 39 years","%","22.4"
"Unemployment rate for population with a disability to a great extent","2022","Male","40 - 44 years","%","21.7"
"Unemployment rate for population with a disability to a great extent","2022","Male","45 - 49 years","%","22.9"
"Unemployment rate for population with a disability to a great extent","2022","Male","50 - 54 years","%","23.1"
"Unemployment rate for population with a disability to a great extent","2022","Male","55 - 59 years","%","23.7"
"Unemployment rate for population with a disability to a great extent","2022","Male","60 - 64 years","%","25.5"
"Unemployment rate for population with a disability to a great extent","2022","Male","65 years and over","%","10.6"
"Unemployment rate for population with a disability to a great extent","2022","Female","15 - 19 years","%","37.5"
"Unemployment rate for population with a disability to a great extent","2022","Female","15 years and over","%","20.1"
"Unemployment rate for population with a disability to a great extent","2022","Female","20 - 24 years","%","22.5"
"Unemployment rate for population with a disability to a great extent","2022","Female","25 - 29 years","%","18.8"
"Unemployment rate for population with a disability to a great extent","2022","Female","30 - 34 years","%","18.2"
"Unemployment rate for population with a disability to a great extent","2022","Female","35 - 39 years","%","16.3"
"Unemployment rate for population with a disability to a great extent","2022","Female","40 - 44 years","%","18.6"
"Unemployment rate for population with a disability to a great extent","2022","Female","45 - 49 years","%","18.7"
"Unemployment rate for population with a disability to a great extent","2022","Female","50 - 54 years","%","19.6"
"Unemployment rate for population with a disability to a great extent","2022","Female","55 - 59 years","%","22.4"
"Unemployment rate for population with a disability to a great extent","2022","Female","60 - 64 years","%","26.1"
"Unemployment rate for population with a disability to a great extent","2022","Female","65 years and over","%","19.1"
"Unemployment rate for population with a disability to a some extent","2022","Both sexes","15 - 19 years","%","31.4"
"Unemployment rate for population with a disability to a some extent","2022","Both sexes","15 years and over","%","11.2"
"Unemployment rate for population with a disability to a some extent","2022","Both sexes","20 - 24 years","%","16.9"
"Unemployment rate for population with a disability to a some extent","2022","Both sexes","25 - 29 years","%","12.1"
"Unemployment rate for population with a disability to a some extent","2022","Both sexes","30 - 34 years","%","11.1"
"Unemployment rate for population with a disability to a some extent","2022","Both sexes","35 - 39 years","%","10"
"Unemployment rate for population with a disability to a some extent","2022","Both sexes","40 - 44 years","%","9.7"
"Unemployment rate for population with a disability to a some extent","2022","Both sexes","45 - 49 years","%","9.7"
"Unemployment rate for population with a disability to a some extent","2022","Both sexes","50 - 54 years","%","10.6"
"Unemployment rate for population with a disability to a some extent","2022","Both sexes","55 - 59 years","%","11.5"
"Unemployment rate for population with a disability to a some extent","2022","Both sexes","60 - 64 years","%","13.2"
"Unemployment rate for population with a disability to a some extent","2022","Both sexes","65 years and over","%","4.4"
"Unemployment rate for population with a disability to a some extent","2022","Male","15 - 19 years","%","33.7"
"Unemployment rate for population with a disability to a some extent","2022","Male","15 years and over","%","11.9"
"Unemployment rate for population with a disability to a some extent","2022","Male","20 - 24 years","%","19.4"
"Unemployment rate for population with a disability to a some extent","2022","Male","25 - 29 years","%","14.2"
"Unemployment rate for population with a disability to a some extent","2022","Male","30 - 34 years","%","12.3"
"Unemployment rate for population with a disability to a some extent","2022","Male","35 - 39 years","%","11.2"
"Unemployment rate for population with a disability to a some extent","2022","Male","40 - 44 years","%","10.6"
"Unemployment rate for population with a disability to a some extent","2022","Male","45 - 49 years","%","10.1"
"Unemployment rate for population with a disability to a some extent","2022","Male","50 - 54 years","%","11.3"
"Unemployment rate for population with a disability to a some extent","2022","Male","55 - 59 years","%","11.8"
"Unemployment rate for population with a disability to a some extent","2022","Male","60 - 64 years","%","13"
"Unemployment rate for population with a disability to a some extent","2022","Male","65 years and over","%","3.7"
"Unemployment rate for population with a disability to a some extent","2022","Female","15 - 19 years","%","28.8"
"Unemployment rate for population with a disability to a some extent","2022","Female","15 years and over","%","10.5"
"Unemployment rate for population with a disability to a some extent","2022","Female","20 - 24 years","%","14.5"
"Unemployment rate for population with a disability to a some extent","2022","Female","25 - 29 years","%","10.2"
"Unemployment rate for population with a disability to a some extent","2022","Female","30 - 34 years","%","10.1"
"Unemployment rate for population with a disability to a some extent","2022","Female","35 - 39 years","%","9"
"Unemployment rate for population with a disability to a some extent","2022","Female","40 - 44 years","%","8.9"
"Unemployment rate for population with a disability to a some extent","2022","Female","45 - 49 years","%","9.2"
"Unemployment rate for population with a disability to a some extent","2022","Female","50 - 54 years","%","9.8"
"Unemployment rate for population with a disability to a some extent","2022","Female","55 - 59 years","%","11.2"
"Unemployment rate for population with a disability to a some extent","2022","Female","60 - 64 years","%","13.6"
"Unemployment rate for population with a disability to a some extent","2022","Female","65 years and over","%","6.4"
