"Statistic Label","Census Year","Sex","Smoking Tobacco Products","Age Group","Administrative Counties","UNIT","VALUE"
"Population","2022","Both sexes","Don't smoke tobacco products - have given up","All ages","Galway City Council","Number","14569"
"Population","2022","Both sexes","Don't smoke tobacco products - have given up","All ages","Galway County Council","Number","39121"
"Population","2022","Both sexes","Don't smoke tobacco products - have given up","All ages","Leitrim County Council","Number","7425"
"Population","2022","Both sexes","Don't smoke tobacco products - have given up","All ages","Mayo  County Council","Number","30023"
"Population","2022","Both sexes","Don't smoke tobacco products - have given up","All ages","Roscommon County Council","Number","14324"
"Population","2022","Both sexes","Don't smoke tobacco products - have given up","All ages","Sligo County Council","Number","14258"
"Population","2022","Both sexes","Don't smoke tobacco products - have given up","All ages","Cavan County Council","Number","15419"
"Population","2022","Both sexes","Don't smoke tobacco products - have given up","All ages","Donegal County Council","Number","33639"
"Population","2022","Both sexes","Don't smoke tobacco products - have given up","All ages","Monaghan County Council","Number","11788"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Carlow County Council","Number","36639"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Dublin City Council","Number","316328"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Dún Laoghaire Rathdown County Council","Number","154811"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Fingal County Council","Number","209369"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","South Dublin County Council","Number","185575"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Kildare County Council","Number","157947"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Kilkenny County Council","Number","64634"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Laois County Council","Number","56414"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Longford County Council","Number","25852"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Louth County Council","Number","83329"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Meath County Council","Number","141467"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Offaly County Council","Number","50316"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Westmeath County Council","Number","56889"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Wexford County Council","Number","95738"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Wicklow County Council","Number","96019"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Clare County Council","Number","76262"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Cork City Council","Number","130633"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Cork County Council","Number","228730"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Kerry County Council","Number","93765"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Limerick City & County Council","Number","121734"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Tipperary County Council","Number","100942"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Waterford City & County Council","Number","75689"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Galway City Council","Number","46346"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Galway County Council","Number","121597"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Leitrim County Council","Number","21309"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Mayo  County Council","Number","83597"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Roscommon County Council","Number","42909"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Sligo County Council","Number","42581"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Cavan County Council","Number","49837"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Donegal County Council","Number","104574"
"Population","2022","Both sexes","Never smoked tobacco products","All ages","Monaghan County Council","Number","41880"
"Population","2022","Both sexes","Smoking status not stated","All ages","Carlow County Council","Number","4499"
"Population","2022","Both sexes","Smoking status not stated","All ages","Dublin City Council","Number","84267"
"Population","2022","Both sexes","Smoking status not stated","All ages","Dún Laoghaire Rathdown County Council","Number","8749"
"Population","2022","Both sexes","Smoking status not stated","All ages","Fingal County Council","Number","26503"
"Population","2022","Both sexes","Smoking status not stated","All ages","South Dublin County Council","Number","23240"
"Population","2022","Both sexes","Smoking status not stated","All ages","Kildare County Council","Number","13574"
"Population","2022","Both sexes","Smoking status not stated","All ages","Kilkenny County Council","Number","5544"
"Population","2022","Both sexes","Smoking status not stated","All ages","Laois County Council","Number","5843"
"Population","2022","Both sexes","Smoking status not stated","All ages","Longford County Council","Number","6142"
"Population","2022","Both sexes","Smoking status not stated","All ages","Louth County Council","Number","10827"
"Population","2022","Both sexes","Smoking status not stated","All ages","Meath County Council","Number","11289"
"Population","2022","Both sexes","Smoking status not stated","All ages","Offaly County Council","Number","5396"
"Population","2022","Both sexes","Smoking status not stated","All ages","Westmeath County Council","Number","7796"
"Population","2022","Both sexes","Smoking status not stated","All ages","Wexford County Council","Number","9682"
"Population","2022","Both sexes","Smoking status not stated","All ages","Wicklow County Council","Number","8437"
"Population","2022","Both sexes","Smoking status not stated","All ages","Clare County Council","Number","9381"
"Population","2022","Both sexes","Smoking status not stated","All ages","Cork City Council","Number","19141"
"Population","2022","Both sexes","Smoking status not stated","All ages","Cork County Council","Number","17488"
"Population","2022","Both sexes","Smoking status not stated","All ages","Kerry County Council","Number","9950"
"Population","2022","Both sexes","Smoking status not stated","All ages","Limerick City & County Council","Number","21287"
"Population","2022","Both sexes","Smoking status not stated","All ages","Tipperary County Council","Number","10191"
"Population","2022","Both sexes","Smoking status not stated","All ages","Waterford City & County Council","Number","9701"
"Population","2022","Both sexes","Smoking status not stated","All ages","Galway City Council","Number","10062"
"Population","2022","Both sexes","Smoking status not stated","All ages","Galway County Council","Number","10880"
"Population","2022","Both sexes","Smoking status not stated","All ages","Leitrim County Council","Number","1868"
"Population","2022","Both sexes","Smoking status not stated","All ages","Mayo  County Council","Number","7289"
"Population","2022","Both sexes","Smoking status not stated","All ages","Roscommon County Council","Number","4020"
"Population","2022","Both sexes","Smoking status not stated","All ages","Sligo County Council","Number","4440"
"Population","2022","Both sexes","Smoking status not stated","All ages","Cavan County Council","Number","5240"
"Population","2022","Both sexes","Smoking status not stated","All ages","Donegal County Council","Number","9066"
"Population","2022","Both sexes","Smoking status not stated","All ages","Monaghan County Council","Number","3303"
