"Statistic Label","Census Year","Sex","Extent of difficulty or condition","Type of difficulty or condition","UNIT","VALUE"
"Unemployment  rate","2022","Male","Great Extent","Psychological or emotional condition or a mental health issue","%","33.7"
"Unemployment  rate","2022","Male","Great Extent","Pain, breathing or any other chronic illness or condition","%","19.3"
"Unemployment  rate","2022","Male","Great Extent","Difficulty dressing, bathing or getting around inside the home","%","29.4"
"Unemployment  rate","2022","Male","Great Extent","Difficulty going outside the home","%","36.6"
"Unemployment  rate","2022","Male","Great Extent","Difficulty working at a job or business or attending school or college","%","47.3"
"Unemployment  rate","2022","Male","Great Extent","Difficulty participating in other activities","%","32.9"
"Unemployment  rate","2022","Female","Great Extent","Blindness or vision impairment","%","16.5"
"Unemployment  rate","2022","Female","Great Extent","Deafness or hearing impairment","%","13.4"
"Unemployment  rate","2022","Female","Great Extent","Basic physical activities","%","29.6"
"Unemployment  rate","2022","Female","Great Extent","An intellectual disability","%","32.4"
"Unemployment  rate","2022","Female","Great Extent","Learning, remembering or concentrating","%","27.2"
"Unemployment  rate","2022","Female","Great Extent","Psychological or emotional condition or a mental health issue","%","24.7"
"Unemployment  rate","2022","Female","Great Extent","Pain, breathing or any other chronic illness or condition","%","16.5"
"Unemployment  rate","2022","Female","Great Extent","Difficulty dressing, bathing or getting around inside the home","%","29.3"
"Unemployment  rate","2022","Female","Great Extent","Difficulty going outside the home","%","36.9"
"Unemployment  rate","2022","Female","Great Extent","Difficulty working at a job or business or attending school or college","%","42.1"
"Unemployment  rate","2022","Female","Great Extent","Difficulty participating in other activities","%","29.2"
