"Statistic Label","CensusYear","Sex","Administrative Counties","UNIT","VALUE"
"Blindness or vision impairment to greater extent","2022","Male","South Dublin County Council","Number","778"
"Blindness or vision impairment to greater extent","2022","Male","Kildare County Council","Number","596"
"Blindness or vision impairment to greater extent","2022","Male","Kilkenny County Council","Number","313"
"Blindness or vision impairment to greater extent","2022","Male","Laois County Council","Number","276"
"Blindness or vision impairment to greater extent","2022","Male","Longford County Council","Number","165"
"Blindness or vision impairment to greater extent","2022","Male","Louth County Council","Number","479"
"Blindness or vision impairment to greater extent","2022","Male","Meath County Council","Number","555"
"Blindness or vision impairment to greater extent","2022","Male","Offaly County Council","Number","299"
"Blindness or vision impairment to greater extent","2022","Male","Westmeath County Council","Number","285"
"Blindness or vision impairment to greater extent","2022","Male","Wexford County Council","Number","527"
"Blindness or vision impairment to greater extent","2022","Male","Wicklow County Council","Number","479"
"Blindness or vision impairment to greater extent","2022","Male","Clare County Council","Number","397"
"Blindness or vision impairment to greater extent","2022","Male","Cork City Council","Number","756"
"Blindness or vision impairment to greater extent","2022","Male","Cork County Council","Number","981"
"Blindness or vision impairment to greater extent","2022","Male","Kerry County Council","Number","475"
"Blindness or vision impairment to greater extent","2022","Male","Limerick City & County Council","Number","679"
"Blindness or vision impairment to greater extent","2022","Male","Tipperary County Council","Number","546"
"Blindness or vision impairment to greater extent","2022","Male","Waterford City & County Council","Number","379"
"Blindness or vision impairment to greater extent","2022","Male","Galway City Council","Number","241"
"Blindness or vision impairment to greater extent","2022","Male","Galway County Council","Number","537"
"Blindness or vision impairment to greater extent","2022","Male","Leitrim County Council","Number","108"
"Blindness or vision impairment to greater extent","2022","Male","Mayo  County Council","Number","428"
"Blindness or vision impairment to greater extent","2022","Male","Roscommon County Council","Number","243"
"Blindness or vision impairment to greater extent","2022","Male","Sligo County Council","Number","200"
"Blindness or vision impairment to greater extent","2022","Male","Cavan County Council","Number","252"
"Blindness or vision impairment to greater extent","2022","Male","Donegal County Council","Number","508"
"Blindness or vision impairment to greater extent","2022","Male","Monaghan County Council","Number","192"
"Blindness or vision impairment to greater extent","2022","Female","Ireland","Number","15992"
"Blindness or vision impairment to greater extent","2022","Female","Carlow County Council","Number","192"
"Blindness or vision impairment to greater extent","2022","Female","Dublin City Council","Number","1980"
"Blindness or vision impairment to greater extent","2022","Female","Dún Laoghaire Rathdown County Council","Number","704"
"Blindness or vision impairment to greater extent","2022","Female","Fingal County Council","Number","804"
"Blindness or vision impairment to greater extent","2022","Female","South Dublin County Council","Number","906"
"Blindness or vision impairment to greater extent","2022","Female","Kildare County Council","Number","637"
"Blindness or vision impairment to greater extent","2022","Female","Kilkenny County Council","Number","306"
"Blindness or vision impairment to greater extent","2022","Female","Laois County Council","Number","293"
"Blindness or vision impairment to greater extent","2022","Female","Longford County Council","Number","184"
"Blindness or vision impairment to greater extent","2022","Female","Louth County Council","Number","487"
"Blindness or vision impairment to greater extent","2022","Female","Meath County Council","Number","567"
"Blindness or vision impairment to greater extent","2022","Female","Offaly County Council","Number","276"
"Blindness or vision impairment to greater extent","2022","Female","Westmeath County Council","Number","294"
"Blindness or vision impairment to greater extent","2022","Female","Wexford County Council","Number","563"
"Blindness or vision impairment to greater extent","2022","Female","Wicklow County Council","Number","451"
"Blindness or vision impairment to greater extent","2022","Female","Clare County Council","Number","369"
"Blindness or vision impairment to greater extent","2022","Female","Cork City Council","Number","810"
"Blindness or vision impairment to greater extent","2022","Female","Cork County Council","Number","1023"
"Blindness or vision impairment to greater extent","2022","Female","Kerry County Council","Number","511"
"Blindness or vision impairment to greater extent","2022","Female","Limerick City & County Council","Number","699"
"Blindness or vision impairment to greater extent","2022","Female","Tipperary County Council","Number","528"
"Blindness or vision impairment to greater extent","2022","Female","Waterford City & County Council","Number","355"
"Blindness or vision impairment to greater extent","2022","Female","Galway City Council","Number","301"
"Blindness or vision impairment to greater extent","2022","Female","Galway County Council","Number","562"
"Blindness or vision impairment to greater extent","2022","Female","Leitrim County Council","Number","128"
"Blindness or vision impairment to greater extent","2022","Female","Mayo  County Council","Number","501"
"Blindness or vision impairment to greater extent","2022","Female","Roscommon County Council","Number","230"
"Blindness or vision impairment to greater extent","2022","Female","Sligo County Council","Number","241"
"Blindness or vision impairment to greater extent","2022","Female","Cavan County Council","Number","241"
"Blindness or vision impairment to greater extent","2022","Female","Donegal County Council","Number","636"
"Blindness or vision impairment to greater extent","2022","Female","Monaghan County Council","Number","213"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Ireland","Number","44998"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Carlow County Council","Number","570"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Dublin City Council","Number","5446"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Dún Laoghaire Rathdown County Council","Number","1856"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Fingal County Council","Number","2020"
"Deafness or hearing impairment to greater extent","2022","Both sexes","South Dublin County Council","Number","2313"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Kildare County Council","Number","1852"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Kilkenny County Council","Number","1011"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Laois County Council","Number","783"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Longford County Council","Number","430"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Louth County Council","Number","1282"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Meath County Council","Number","1524"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Offaly County Council","Number","779"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Westmeath County Council","Number","881"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Wexford County Council","Number","1732"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Wicklow County Council","Number","1315"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Clare County Council","Number","1052"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Cork City Council","Number","2190"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Cork County Council","Number","3019"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Kerry County Council","Number","1444"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Limerick City & County Council","Number","1918"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Tipperary County Council","Number","1658"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Waterford City & County Council","Number","1268"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Galway City Council","Number","640"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Galway County Council","Number","1710"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Leitrim County Council","Number","348"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Mayo  County Council","Number","1403"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Roscommon County Council","Number","750"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Sligo County Council","Number","650"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Cavan County Council","Number","695"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Donegal County Council","Number","1892"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Monaghan County Council","Number","567"
"Deafness or hearing impairment to greater extent","2022","Male","Ireland","Number","22474"
"Deafness or hearing impairment to greater extent","2022","Male","Carlow County Council","Number","299"
"Deafness or hearing impairment to greater extent","2022","Male","Dublin City Council","Number","2473"
"Deafness or hearing impairment to greater extent","2022","Male","Dún Laoghaire Rathdown County Council","Number","837"
"Deafness or hearing impairment to greater extent","2022","Male","Fingal County Council","Number","961"
"Deafness or hearing impairment to greater extent","2022","Male","South Dublin County Council","Number","1062"
"Deafness or hearing impairment to greater extent","2022","Male","Kildare County Council","Number","1003"
"Deafness or hearing impairment to greater extent","2022","Male","Kilkenny County Council","Number","542"
"Deafness or hearing impairment to greater extent","2022","Male","Laois County Council","Number","411"
"Deafness or hearing impairment to greater extent","2022","Male","Longford County Council","Number","215"
"Deafness or hearing impairment to greater extent","2022","Male","Louth County Council","Number","628"
"Deafness or hearing impairment to greater extent","2022","Male","Meath County Council","Number","783"
"Deafness or hearing impairment to greater extent","2022","Male","Offaly County Council","Number","414"
"Deafness or hearing impairment to greater extent","2022","Male","Westmeath County Council","Number","456"
"Deafness or hearing impairment to greater extent","2022","Male","Wexford County Council","Number","884"
"Deafness or hearing impairment to greater extent","2022","Male","Wicklow County Council","Number","651"
"Deafness or hearing impairment to greater extent","2022","Male","Clare County Council","Number","575"
"Deafness or hearing impairment to greater extent","2022","Male","Cork City Council","Number","1069"
"Deafness or hearing impairment to greater extent","2022","Male","Cork County Council","Number","1566"
"Deafness or hearing impairment to greater extent","2022","Male","Kerry County Council","Number","750"
"Deafness or hearing impairment to greater extent","2022","Male","Limerick City & County Council","Number","989"
"Deafness or hearing impairment to greater extent","2022","Male","Tipperary County Council","Number","841"
"Deafness or hearing impairment to greater extent","2022","Male","Waterford City & County Council","Number","653"
"Deafness or hearing impairment to greater extent","2022","Male","Galway City Council","Number","306"
"Deafness or hearing impairment to greater extent","2022","Male","Galway County Council","Number","848"
"Deafness or hearing impairment to greater extent","2022","Male","Leitrim County Council","Number","185"
"Deafness or hearing impairment to greater extent","2022","Male","Mayo  County Council","Number","701"
"Deafness or hearing impairment to greater extent","2022","Male","Roscommon County Council","Number","392"
"Deafness or hearing impairment to greater extent","2022","Male","Sligo County Council","Number","324"
"Deafness or hearing impairment to greater extent","2022","Male","Cavan County Council","Number","374"
"Deafness or hearing impairment to greater extent","2022","Male","Donegal County Council","Number","998"
"Deafness or hearing impairment to greater extent","2022","Male","Monaghan County Council","Number","284"
"Deafness or hearing impairment to greater extent","2022","Female","Ireland","Number","22524"
"Deafness or hearing impairment to greater extent","2022","Female","Carlow County Council","Number","271"
"Deafness or hearing impairment to greater extent","2022","Female","Dublin City Council","Number","2973"
"Deafness or hearing impairment to greater extent","2022","Female","Dún Laoghaire Rathdown County Council","Number","1019"
"Deafness or hearing impairment to greater extent","2022","Female","Fingal County Council","Number","1059"
"Deafness or hearing impairment to greater extent","2022","Female","South Dublin County Council","Number","1251"
"Deafness or hearing impairment to greater extent","2022","Female","Kildare County Council","Number","849"
"Deafness or hearing impairment to greater extent","2022","Female","Kilkenny County Council","Number","469"
"Deafness or hearing impairment to greater extent","2022","Female","Laois County Council","Number","372"
"Deafness or hearing impairment to greater extent","2022","Female","Longford County Council","Number","215"
"Deafness or hearing impairment to greater extent","2022","Female","Louth County Council","Number","654"
"Deafness or hearing impairment to greater extent","2022","Female","Meath County Council","Number","741"
"Deafness or hearing impairment to greater extent","2022","Female","Offaly County Council","Number","365"
"Deafness or hearing impairment to greater extent","2022","Female","Westmeath County Council","Number","425"
"Deafness or hearing impairment to greater extent","2022","Female","Wexford County Council","Number","848"
"Deafness or hearing impairment to greater extent","2022","Female","Wicklow County Council","Number","664"
"Deafness or hearing impairment to greater extent","2022","Female","Clare County Council","Number","477"
"Deafness or hearing impairment to greater extent","2022","Female","Cork City Council","Number","1121"
"Deafness or hearing impairment to greater extent","2022","Female","Cork County Council","Number","1453"
"Deafness or hearing impairment to greater extent","2022","Female","Kerry County Council","Number","694"
"Deafness or hearing impairment to greater extent","2022","Female","Limerick City & County Council","Number","929"
"Deafness or hearing impairment to greater extent","2022","Female","Tipperary County Council","Number","817"
"Deafness or hearing impairment to greater extent","2022","Female","Waterford City & County Council","Number","615"
"Deafness or hearing impairment to greater extent","2022","Female","Galway City Council","Number","334"
"Deafness or hearing impairment to greater extent","2022","Female","Galway County Council","Number","862"
"Deafness or hearing impairment to greater extent","2022","Female","Leitrim County Council","Number","163"
"Deafness or hearing impairment to greater extent","2022","Female","Mayo  County Council","Number","702"
"Deafness or hearing impairment to greater extent","2022","Female","Roscommon County Council","Number","358"
"Deafness or hearing impairment to greater extent","2022","Female","Sligo County Council","Number","326"
"Deafness or hearing impairment to greater extent","2022","Female","Cavan County Council","Number","321"
"Deafness or hearing impairment to greater extent","2022","Female","Donegal County Council","Number","894"
"Deafness or hearing impairment to greater extent","2022","Female","Monaghan County Council","Number","283"
"An intellectual disability to greater extent","2022","Both sexes","Ireland","Number","47665"
"An intellectual disability to greater extent","2022","Both sexes","Carlow County Council","Number","575"
"An intellectual disability to greater extent","2022","Both sexes","Dublin City Council","Number","4732"
"An intellectual disability to greater extent","2022","Both sexes","Dún Laoghaire Rathdown County Council","Number","1565"
"An intellectual disability to greater extent","2022","Both sexes","Fingal County Council","Number","2830"
"An intellectual disability to greater extent","2022","Both sexes","South Dublin County Council","Number","3110"
"An intellectual disability to greater extent","2022","Both sexes","Kildare County Council","Number","2269"
"An intellectual disability to greater extent","2022","Both sexes","Kilkenny County Council","Number","1006"
"An intellectual disability to greater extent","2022","Both sexes","Laois County Council","Number","1018"
"An intellectual disability to greater extent","2022","Both sexes","Longford County Council","Number","444"
"An intellectual disability to greater extent","2022","Both sexes","Louth County Council","Number","1471"
"An intellectual disability to greater extent","2022","Both sexes","Meath County Council","Number","1804"
"An intellectual disability to greater extent","2022","Both sexes","Offaly County Council","Number","946"
"An intellectual disability to greater extent","2022","Both sexes","Westmeath County Council","Number","992"
"An intellectual disability to greater extent","2022","Both sexes","Wexford County Council","Number","1647"
"An intellectual disability to greater extent","2022","Both sexes","Wicklow County Council","Number","1491"
"An intellectual disability to greater extent","2022","Both sexes","Clare County Council","Number","1143"
"An intellectual disability to greater extent","2022","Both sexes","Cork City Council","Number","2410"
"An intellectual disability to greater extent","2022","Both sexes","Cork County Council","Number","3281"
"An intellectual disability to greater extent","2022","Both sexes","Kerry County Council","Number","1497"
"An intellectual disability to greater extent","2022","Both sexes","Limerick City & County Council","Number","2312"
"An intellectual disability to greater extent","2022","Both sexes","Tipperary County Council","Number","1785"
"An intellectual disability to greater extent","2022","Both sexes","Waterford City & County Council","Number","1191"
"An intellectual disability to greater extent","2022","Both sexes","Galway City Council","Number","673"
"An intellectual disability to greater extent","2022","Both sexes","Galway County Council","Number","1670"
"An intellectual disability to greater extent","2022","Both sexes","Leitrim County Council","Number","275"
"An intellectual disability to greater extent","2022","Both sexes","Mayo  County Council","Number","1268"
"An intellectual disability to greater extent","2022","Both sexes","Roscommon County Council","Number","705"
"An intellectual disability to greater extent","2022","Both sexes","Sligo County Council","Number","741"
"An intellectual disability to greater extent","2022","Both sexes","Cavan County Council","Number","716"
"An intellectual disability to greater extent","2022","Both sexes","Donegal County Council","Number","1538"
"An intellectual disability to greater extent","2022","Both sexes","Monaghan County Council","Number","560"
"An intellectual disability to greater extent","2022","Male","Ireland","Number","28384"
"An intellectual disability to greater extent","2022","Male","Carlow County Council","Number","346"
"An intellectual disability to greater extent","2022","Male","Dublin City Council","Number","2745"
"An intellectual disability to greater extent","2022","Male","Dún Laoghaire Rathdown County Council","Number","857"
"An intellectual disability to greater extent","2022","Male","Fingal County Council","Number","1548"
"An intellectual disability to greater extent","2022","Male","South Dublin County Council","Number","1844"
"An intellectual disability to greater extent","2022","Male","Kildare County Council","Number","1421"
"An intellectual disability to greater extent","2022","Male","Kilkenny County Council","Number","599"
"An intellectual disability to greater extent","2022","Male","Laois County Council","Number","651"
"An intellectual disability to greater extent","2022","Male","Longford County Council","Number","271"
"An intellectual disability to greater extent","2022","Male","Louth County Council","Number","912"
"An intellectual disability to greater extent","2022","Male","Meath County Council","Number","1084"
"An intellectual disability to greater extent","2022","Male","Offaly County Council","Number","574"
"An intellectual disability to greater extent","2022","Male","Westmeath County Council","Number","577"
"An intellectual disability to greater extent","2022","Male","Wexford County Council","Number","988"
"An intellectual disability to greater extent","2022","Male","Wicklow County Council","Number","911"
"An intellectual disability to greater extent","2022","Male","Clare County Council","Number","698"
"An intellectual disability to greater extent","2022","Male","Cork City Council","Number","1409"
"An intellectual disability to greater extent","2022","Male","Cork County Council","Number","2005"
"An intellectual disability to greater extent","2022","Male","Kerry County Council","Number","905"
"An intellectual disability to greater extent","2022","Male","Limerick City & County Council","Number","1415"
"An intellectual disability to greater extent","2022","Male","Tipperary County Council","Number","1084"
"An intellectual disability to greater extent","2022","Male","Waterford City & County Council","Number","690"
"An intellectual disability to greater extent","2022","Male","Galway City Council","Number","392"
"An intellectual disability to greater extent","2022","Male","Galway County Council","Number","996"
"An intellectual disability to greater extent","2022","Male","Leitrim County Council","Number","154"
"An intellectual disability to greater extent","2022","Male","Mayo  County Council","Number","727"
"An intellectual disability to greater extent","2022","Male","Roscommon County Council","Number","417"
"An intellectual disability to greater extent","2022","Male","Sligo County Council","Number","400"
"An intellectual disability to greater extent","2022","Male","Cavan County Council","Number","442"
"An intellectual disability to greater extent","2022","Male","Donegal County Council","Number","962"
"An intellectual disability to greater extent","2022","Male","Monaghan County Council","Number","360"
"An intellectual disability to greater extent","2022","Female","Ireland","Number","19281"
"An intellectual disability to greater extent","2022","Female","Carlow County Council","Number","229"
"An intellectual disability to greater extent","2022","Female","Dublin City Council","Number","1987"
"An intellectual disability to greater extent","2022","Female","Dún Laoghaire Rathdown County Council","Number","708"
"An intellectual disability to greater extent","2022","Female","Fingal County Council","Number","1282"
"An intellectual disability to greater extent","2022","Female","South Dublin County Council","Number","1266"
"An intellectual disability to greater extent","2022","Female","Kildare County Council","Number","848"
"An intellectual disability to greater extent","2022","Female","Kilkenny County Council","Number","407"
"An intellectual disability to greater extent","2022","Female","Laois County Council","Number","367"
"An intellectual disability to greater extent","2022","Female","Longford County Council","Number","173"
"An intellectual disability to greater extent","2022","Female","Louth County Council","Number","559"
"An intellectual disability to greater extent","2022","Female","Meath County Council","Number","720"
"An intellectual disability to greater extent","2022","Female","Offaly County Council","Number","372"
"An intellectual disability to greater extent","2022","Female","Westmeath County Council","Number","415"
"An intellectual disability to greater extent","2022","Female","Wexford County Council","Number","659"
"An intellectual disability to greater extent","2022","Female","Wicklow County Council","Number","580"
"An intellectual disability to greater extent","2022","Female","Clare County Council","Number","445"
"An intellectual disability to greater extent","2022","Female","Cork City Council","Number","1001"
"An intellectual disability to greater extent","2022","Female","Cork County Council","Number","1276"
"An intellectual disability to greater extent","2022","Female","Kerry County Council","Number","592"
"An intellectual disability to greater extent","2022","Female","Limerick City & County Council","Number","897"
"An intellectual disability to greater extent","2022","Female","Tipperary County Council","Number","701"
"An intellectual disability to greater extent","2022","Female","Waterford City & County Council","Number","501"
"An intellectual disability to greater extent","2022","Female","Galway City Council","Number","281"
"An intellectual disability to greater extent","2022","Female","Galway County Council","Number","674"
"An intellectual disability to greater extent","2022","Female","Leitrim County Council","Number","121"
"An intellectual disability to greater extent","2022","Female","Mayo  County Council","Number","541"
"An intellectual disability to greater extent","2022","Female","Roscommon County Council","Number","288"
"An intellectual disability to greater extent","2022","Female","Sligo County Council","Number","341"
"An intellectual disability to greater extent","2022","Female","Cavan County Council","Number","274"
"An intellectual disability to greater extent","2022","Female","Donegal County Council","Number","576"
"An intellectual disability to greater extent","2022","Female","Monaghan County Council","Number","200"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Ireland","Number","71887"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Carlow County Council","Number","955"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Dublin City Council","Number","7679"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Dún Laoghaire Rathdown County Council","Number","2977"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Fingal County Council","Number","3969"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","South Dublin County Council","Number","4388"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Kildare County Council","Number","3437"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Kilkenny County Council","Number","1403"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Laois County Council","Number","1436"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Longford County Council","Number","678"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Louth County Council","Number","2034"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Meath County Council","Number","2675"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Offaly County Council","Number","1279"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Westmeath County Council","Number","1348"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Wexford County Council","Number","2621"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Wicklow County Council","Number","2341"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Clare County Council","Number","1705"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Cork City Council","Number","3541"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Cork County Council","Number","4906"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Kerry County Council","Number","2187"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Limerick City & County Council","Number","3273"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Tipperary County Council","Number","2623"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Waterford City & County Council","Number","1761"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Galway City Council","Number","1085"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Galway County Council","Number","2612"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Leitrim County Council","Number","532"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Mayo  County Council","Number","1983"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Roscommon County Council","Number","1067"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Sligo County Council","Number","1065"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Cavan County Council","Number","1010"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Donegal County Council","Number","2529"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Monaghan County Council","Number","788"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Ireland","Number","38352"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Carlow County Council","Number","497"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Dublin City Council","Number","3900"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Dún Laoghaire Rathdown County Council","Number","1404"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Fingal County Council","Number","2090"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","South Dublin County Council","Number","2414"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Kildare County Council","Number","1949"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Kilkenny County Council","Number","726"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Laois County Council","Number","829"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Longford County Council","Number","363"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Louth County Council","Number","1106"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Meath County Council","Number","1508"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Offaly County Council","Number","738"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Westmeath County Council","Number","726"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Wexford County Council","Number","1398"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Wicklow County Council","Number","1297"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Clare County Council","Number","942"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Cork City Council","Number","1788"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Cork County Council","Number","2638"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Kerry County Council","Number","1176"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Limerick City & County Council","Number","1821"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Tipperary County Council","Number","1425"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Waterford City & County Council","Number","898"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Galway City Council","Number","540"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Galway County Council","Number","1415"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Leitrim County Council","Number","280"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Mayo  County Council","Number","1012"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Roscommon County Council","Number","575"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Sligo County Council","Number","549"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Cavan County Council","Number","568"
