"Statistic Label","CensusYear","Sex","Single Year of Age","UNIT","VALUE"
"Blindness or vision impairment to greater extent","2022","Both sexes","98 years","Number","76"
"Blindness or vision impairment to greater extent","2022","Both sexes","99 years","Number","58"
"Blindness or vision impairment to greater extent","2022","Both sexes","100 years and over","Number","88"
"Blindness or vision impairment to greater extent","2022","Male","Under 1 year","Number","33"
"Blindness or vision impairment to greater extent","2022","Male","1 year","Number","38"
"Blindness or vision impairment to greater extent","2022","Male","2 years","Number","48"
"Blindness or vision impairment to greater extent","2022","Male","3 years","Number","57"
"Blindness or vision impairment to greater extent","2022","Male","4 years","Number","56"
"Blindness or vision impairment to greater extent","2022","Male","5 years","Number","68"
"Blindness or vision impairment to greater extent","2022","Male","6 years","Number","114"
"Blindness or vision impairment to greater extent","2022","Male","7 years","Number","118"
"Blindness or vision impairment to greater extent","2022","Male","8 years","Number","112"
"Blindness or vision impairment to greater extent","2022","Male","9 years","Number","129"
"Blindness or vision impairment to greater extent","2022","Male","10 years","Number","133"
"Blindness or vision impairment to greater extent","2022","Male","11 years","Number","117"
"Blindness or vision impairment to greater extent","2022","Male","12 years","Number","114"
"Blindness or vision impairment to greater extent","2022","Male","13 years","Number","139"
"Blindness or vision impairment to greater extent","2022","Male","14 years","Number","117"
"Blindness or vision impairment to greater extent","2022","Male","15 years","Number","116"
"Blindness or vision impairment to greater extent","2022","Male","16 years","Number","128"
"Blindness or vision impairment to greater extent","2022","Male","17 years","Number","125"
"Blindness or vision impairment to greater extent","2022","Male","18 years","Number","136"
"Blindness or vision impairment to greater extent","2022","Male","19 years","Number","134"
"Blindness or vision impairment to greater extent","2022","Male","20 years","Number","142"
"Blindness or vision impairment to greater extent","2022","Male","21 years","Number","132"
"Blindness or vision impairment to greater extent","2022","Male","22 years","Number","133"
"Blindness or vision impairment to greater extent","2022","Male","23 years","Number","144"
"Blindness or vision impairment to greater extent","2022","Male","24 years","Number","119"
"Blindness or vision impairment to greater extent","2022","Male","25 years","Number","114"
"Blindness or vision impairment to greater extent","2022","Male","26 years","Number","140"
"Blindness or vision impairment to greater extent","2022","Male","27 years","Number","126"
"Blindness or vision impairment to greater extent","2022","Male","28 years","Number","99"
"Blindness or vision impairment to greater extent","2022","Male","29 years","Number","124"
"Blindness or vision impairment to greater extent","2022","Male","30 years","Number","123"
"Blindness or vision impairment to greater extent","2022","Male","31 years","Number","116"
"Blindness or vision impairment to greater extent","2022","Male","32 years","Number","126"
"Blindness or vision impairment to greater extent","2022","Male","33 years","Number","124"
"Blindness or vision impairment to greater extent","2022","Male","34 years","Number","114"
"Blindness or vision impairment to greater extent","2022","Male","35 years","Number","130"
"Blindness or vision impairment to greater extent","2022","Male","36 years","Number","133"
"Blindness or vision impairment to greater extent","2022","Male","37 years","Number","146"
"Blindness or vision impairment to greater extent","2022","Male","38 years","Number","135"
"Blindness or vision impairment to greater extent","2022","Male","39 years","Number","142"
"Blindness or vision impairment to greater extent","2022","Male","40 years","Number","133"
"Blindness or vision impairment to greater extent","2022","Male","41 years","Number","114"
"Blindness or vision impairment to greater extent","2022","Male","42 years","Number","184"
"Blindness or vision impairment to greater extent","2022","Male","43 years","Number","134"
"Blindness or vision impairment to greater extent","2022","Male","44 years","Number","162"
"Blindness or vision impairment to greater extent","2022","Male","45 years","Number","153"
"Blindness or vision impairment to greater extent","2022","Male","46 years","Number","171"
"Blindness or vision impairment to greater extent","2022","Male","47 years","Number","151"
"Blindness or vision impairment to greater extent","2022","Male","48 years","Number","146"
"Blindness or vision impairment to greater extent","2022","Male","49 years","Number","191"
"Blindness or vision impairment to greater extent","2022","Male","50 years","Number","168"
"Blindness or vision impairment to greater extent","2022","Male","51 years","Number","185"
"Blindness or vision impairment to greater extent","2022","Male","52 years","Number","195"
"Blindness or vision impairment to greater extent","2022","Male","53 years","Number","201"
"Blindness or vision impairment to greater extent","2022","Male","54 years","Number","191"
"Blindness or vision impairment to greater extent","2022","Male","55 years","Number","179"
"Blindness or vision impairment to greater extent","2022","Male","56 years","Number","171"
"Blindness or vision impairment to greater extent","2022","Male","57 years","Number","196"
"Blindness or vision impairment to greater extent","2022","Male","58 years","Number","240"
"Blindness or vision impairment to greater extent","2022","Male","59 years","Number","207"
"Blindness or vision impairment to greater extent","2022","Male","60 years","Number","204"
"Blindness or vision impairment to greater extent","2022","Male","61 years","Number","183"
"Blindness or vision impairment to greater extent","2022","Male","62 years","Number","181"
"Blindness or vision impairment to greater extent","2022","Male","63 years","Number","200"
"Blindness or vision impairment to greater extent","2022","Male","64 years","Number","193"
"Blindness or vision impairment to greater extent","2022","Male","65 years","Number","203"
"Blindness or vision impairment to greater extent","2022","Male","66 years","Number","228"
"Blindness or vision impairment to greater extent","2022","Male","67 years","Number","205"
"Blindness or vision impairment to greater extent","2022","Male","68 years","Number","184"
"Blindness or vision impairment to greater extent","2022","Male","69 years","Number","229"
"Blindness or vision impairment to greater extent","2022","Male","70 years","Number","188"
"Blindness or vision impairment to greater extent","2022","Male","71 years","Number","235"
"Blindness or vision impairment to greater extent","2022","Male","72 years","Number","244"
"Blindness or vision impairment to greater extent","2022","Male","73 years","Number","216"
"Blindness or vision impairment to greater extent","2022","Male","74 years","Number","225"
"Blindness or vision impairment to greater extent","2022","Male","75 years","Number","226"
"Blindness or vision impairment to greater extent","2022","Male","76 years","Number","206"
"Blindness or vision impairment to greater extent","2022","Male","77 years","Number","235"
"Blindness or vision impairment to greater extent","2022","Male","78 years","Number","222"
"Blindness or vision impairment to greater extent","2022","Male","79 years","Number","231"
"Blindness or vision impairment to greater extent","2022","Male","80 years","Number","221"
"Blindness or vision impairment to greater extent","2022","Male","81 years","Number","247"
"Blindness or vision impairment to greater extent","2022","Male","82 years","Number","234"
"Blindness or vision impairment to greater extent","2022","Male","83 years","Number","209"
"Blindness or vision impairment to greater extent","2022","Male","84 years","Number","214"
"Blindness or vision impairment to greater extent","2022","Male","85 years","Number","217"
"Blindness or vision impairment to greater extent","2022","Male","86 years","Number","202"
"Blindness or vision impairment to greater extent","2022","Male","87 years","Number","193"
"Blindness or vision impairment to greater extent","2022","Male","88 years","Number","176"
"Blindness or vision impairment to greater extent","2022","Male","89 years","Number","155"
"Blindness or vision impairment to greater extent","2022","Male","90 years","Number","133"
"Blindness or vision impairment to greater extent","2022","Male","91 years","Number","125"
"Blindness or vision impairment to greater extent","2022","Male","92 years","Number","77"
"Blindness or vision impairment to greater extent","2022","Male","93 years","Number","69"
"Blindness or vision impairment to greater extent","2022","Male","94 years","Number","60"
"Blindness or vision impairment to greater extent","2022","Male","95 years","Number","50"
"Blindness or vision impairment to greater extent","2022","Male","96 years","Number","35"
"Blindness or vision impairment to greater extent","2022","Male","97 years","Number","21"
"Blindness or vision impairment to greater extent","2022","Male","98 years","Number","13"
"Blindness or vision impairment to greater extent","2022","Male","99 years","Number","6"
"Blindness or vision impairment to greater extent","2022","Male","100 years and over","Number","12"
"Blindness or vision impairment to greater extent","2022","Female","Under 1 year","Number","25"
"Blindness or vision impairment to greater extent","2022","Female","1 year","Number","30"
"Blindness or vision impairment to greater extent","2022","Female","2 years","Number","37"
"Blindness or vision impairment to greater extent","2022","Female","3 years","Number","59"
"Blindness or vision impairment to greater extent","2022","Female","4 years","Number","63"
"Blindness or vision impairment to greater extent","2022","Female","5 years","Number","70"
"Blindness or vision impairment to greater extent","2022","Female","6 years","Number","81"
"Blindness or vision impairment to greater extent","2022","Female","7 years","Number","95"
"Blindness or vision impairment to greater extent","2022","Female","8 years","Number","93"
"Blindness or vision impairment to greater extent","2022","Female","9 years","Number","93"
"Blindness or vision impairment to greater extent","2022","Female","10 years","Number","114"
"Blindness or vision impairment to greater extent","2022","Female","11 years","Number","104"
"Blindness or vision impairment to greater extent","2022","Female","12 years","Number","110"
"Blindness or vision impairment to greater extent","2022","Female","13 years","Number","132"
"Blindness or vision impairment to greater extent","2022","Female","14 years","Number","118"
"Blindness or vision impairment to greater extent","2022","Female","15 years","Number","128"
"Blindness or vision impairment to greater extent","2022","Female","16 years","Number","125"
"Blindness or vision impairment to greater extent","2022","Female","17 years","Number","128"
"Blindness or vision impairment to greater extent","2022","Female","18 years","Number","135"
"Blindness or vision impairment to greater extent","2022","Female","19 years","Number","128"
"Blindness or vision impairment to greater extent","2022","Female","20 years","Number","173"
"Blindness or vision impairment to greater extent","2022","Female","21 years","Number","150"
"Blindness or vision impairment to greater extent","2022","Female","22 years","Number","133"
"Blindness or vision impairment to greater extent","2022","Female","23 years","Number","134"
"Blindness or vision impairment to greater extent","2022","Female","24 years","Number","162"
"Blindness or vision impairment to greater extent","2022","Female","25 years","Number","138"
"Blindness or vision impairment to greater extent","2022","Female","26 years","Number","128"
"Blindness or vision impairment to greater extent","2022","Female","27 years","Number","115"
"Blindness or vision impairment to greater extent","2022","Female","28 years","Number","93"
"Blindness or vision impairment to greater extent","2022","Female","29 years","Number","97"
"Blindness or vision impairment to greater extent","2022","Female","30 years","Number","121"
"Blindness or vision impairment to greater extent","2022","Female","31 years","Number","134"
"Blindness or vision impairment to greater extent","2022","Female","32 years","Number","111"
"Blindness or vision impairment to greater extent","2022","Female","33 years","Number","93"
"Blindness or vision impairment to greater extent","2022","Female","34 years","Number","123"
"Blindness or vision impairment to greater extent","2022","Female","35 years","Number","123"
"Blindness or vision impairment to greater extent","2022","Female","36 years","Number","137"
"Blindness or vision impairment to greater extent","2022","Female","37 years","Number","125"
"Blindness or vision impairment to greater extent","2022","Female","38 years","Number","131"
"Blindness or vision impairment to greater extent","2022","Female","39 years","Number","152"
"Blindness or vision impairment to greater extent","2022","Female","40 years","Number","131"
"Blindness or vision impairment to greater extent","2022","Female","41 years","Number","147"
"Blindness or vision impairment to greater extent","2022","Female","42 years","Number","130"
"Blindness or vision impairment to greater extent","2022","Female","43 years","Number","127"
"Blindness or vision impairment to greater extent","2022","Female","44 years","Number","155"
"Blindness or vision impairment to greater extent","2022","Female","45 years","Number","142"
"Blindness or vision impairment to greater extent","2022","Female","46 years","Number","132"
"Blindness or vision impairment to greater extent","2022","Female","47 years","Number","124"
"Blindness or vision impairment to greater extent","2022","Female","48 years","Number","155"
"Blindness or vision impairment to greater extent","2022","Female","49 years","Number","162"
"Blindness or vision impairment to greater extent","2022","Female","50 years","Number","173"
"Blindness or vision impairment to greater extent","2022","Female","51 years","Number","158"
"Blindness or vision impairment to greater extent","2022","Female","52 years","Number","166"
"Blindness or vision impairment to greater extent","2022","Female","53 years","Number","131"
"Blindness or vision impairment to greater extent","2022","Female","54 years","Number","183"
"Blindness or vision impairment to greater extent","2022","Female","55 years","Number","148"
"Blindness or vision impairment to greater extent","2022","Female","56 years","Number","147"
"Blindness or vision impairment to greater extent","2022","Female","57 years","Number","151"
"Blindness or vision impairment to greater extent","2022","Female","58 years","Number","180"
"Blindness or vision impairment to greater extent","2022","Female","59 years","Number","156"
"Blindness or vision impairment to greater extent","2022","Female","60 years","Number","144"
"Blindness or vision impairment to greater extent","2022","Female","61 years","Number","172"
"Blindness or vision impairment to greater extent","2022","Female","62 years","Number","176"
"Blindness or vision impairment to greater extent","2022","Female","63 years","Number","153"
"Blindness or vision impairment to greater extent","2022","Female","64 years","Number","168"
"Blindness or vision impairment to greater extent","2022","Female","65 years","Number","152"
"Blindness or vision impairment to greater extent","2022","Female","66 years","Number","165"
"Blindness or vision impairment to greater extent","2022","Female","67 years","Number","182"
"Blindness or vision impairment to greater extent","2022","Female","68 years","Number","197"
"Blindness or vision impairment to greater extent","2022","Female","69 years","Number","204"
"Blindness or vision impairment to greater extent","2022","Female","70 years","Number","182"
"Blindness or vision impairment to greater extent","2022","Female","71 years","Number","198"
"Blindness or vision impairment to greater extent","2022","Female","72 years","Number","209"
"Blindness or vision impairment to greater extent","2022","Female","73 years","Number","223"
"Blindness or vision impairment to greater extent","2022","Female","74 years","Number","222"
"Blindness or vision impairment to greater extent","2022","Female","75 years","Number","248"
"Blindness or vision impairment to greater extent","2022","Female","76 years","Number","252"
"Blindness or vision impairment to greater extent","2022","Female","77 years","Number","249"
"Blindness or vision impairment to greater extent","2022","Female","78 years","Number","277"
"Blindness or vision impairment to greater extent","2022","Female","79 years","Number","290"
"Blindness or vision impairment to greater extent","2022","Female","80 years","Number","259"
"Blindness or vision impairment to greater extent","2022","Female","81 years","Number","282"
"Blindness or vision impairment to greater extent","2022","Female","82 years","Number","282"
"Blindness or vision impairment to greater extent","2022","Female","83 years","Number","303"
"Blindness or vision impairment to greater extent","2022","Female","84 years","Number","276"
"Blindness or vision impairment to greater extent","2022","Female","85 years","Number","314"
"Blindness or vision impairment to greater extent","2022","Female","86 years","Number","305"
"Blindness or vision impairment to greater extent","2022","Female","87 years","Number","327"
"Blindness or vision impairment to greater extent","2022","Female","88 years","Number","305"
"Blindness or vision impairment to greater extent","2022","Female","89 years","Number","279"
"Blindness or vision impairment to greater extent","2022","Female","90 years","Number","253"
"Blindness or vision impairment to greater extent","2022","Female","91 years","Number","249"
"Blindness or vision impairment to greater extent","2022","Female","92 years","Number","207"
"Blindness or vision impairment to greater extent","2022","Female","93 years","Number","180"
"Blindness or vision impairment to greater extent","2022","Female","94 years","Number","151"
"Blindness or vision impairment to greater extent","2022","Female","95 years","Number","137"
"Blindness or vision impairment to greater extent","2022","Female","96 years","Number","101"
"Blindness or vision impairment to greater extent","2022","Female","97 years","Number","89"
"Blindness or vision impairment to greater extent","2022","Female","98 years","Number","63"
"Blindness or vision impairment to greater extent","2022","Female","99 years","Number","52"
"Blindness or vision impairment to greater extent","2022","Female","100 years and over","Number","76"
"Deafness or hearing impairment to greater extent","2022","Both sexes","Under 1 year","Number","47"
"Deafness or hearing impairment to greater extent","2022","Both sexes","1 year","Number","57"
"Deafness or hearing impairment to greater extent","2022","Both sexes","2 years","Number","65"
"Deafness or hearing impairment to greater extent","2022","Both sexes","3 years","Number","76"
"Deafness or hearing impairment to greater extent","2022","Both sexes","4 years","Number","84"
"Deafness or hearing impairment to greater extent","2022","Both sexes","5 years","Number","108"
"Deafness or hearing impairment to greater extent","2022","Both sexes","6 years","Number","120"
"Deafness or hearing impairment to greater extent","2022","Both sexes","7 years","Number","135"
"Deafness or hearing impairment to greater extent","2022","Both sexes","8 years","Number","145"
"Deafness or hearing impairment to greater extent","2022","Both sexes","9 years","Number","142"
"Deafness or hearing impairment to greater extent","2022","Both sexes","10 years","Number","160"
"Deafness or hearing impairment to greater extent","2022","Both sexes","11 years","Number","168"
"Deafness or hearing impairment to greater extent","2022","Both sexes","12 years","Number","166"
"Deafness or hearing impairment to greater extent","2022","Both sexes","13 years","Number","160"
"Deafness or hearing impairment to greater extent","2022","Both sexes","14 years","Number","158"
"Deafness or hearing impairment to greater extent","2022","Both sexes","15 years","Number","165"
"Deafness or hearing impairment to greater extent","2022","Both sexes","16 years","Number","147"
"Deafness or hearing impairment to greater extent","2022","Both sexes","17 years","Number","160"
"Deafness or hearing impairment to greater extent","2022","Both sexes","18 years","Number","138"
"Deafness or hearing impairment to greater extent","2022","Both sexes","19 years","Number","168"
"Deafness or hearing impairment to greater extent","2022","Both sexes","20 years","Number","138"
"Deafness or hearing impairment to greater extent","2022","Both sexes","21 years","Number","155"
"Deafness or hearing impairment to greater extent","2022","Both sexes","22 years","Number","160"
"Deafness or hearing impairment to greater extent","2022","Both sexes","23 years","Number","107"
"Deafness or hearing impairment to greater extent","2022","Both sexes","24 years","Number","145"
"Deafness or hearing impairment to greater extent","2022","Both sexes","25 years","Number","122"
"Deafness or hearing impairment to greater extent","2022","Both sexes","26 years","Number","143"
"Deafness or hearing impairment to greater extent","2022","Both sexes","27 years","Number","125"
"Deafness or hearing impairment to greater extent","2022","Both sexes","28 years","Number","123"
"Deafness or hearing impairment to greater extent","2022","Both sexes","29 years","Number","136"
"Deafness or hearing impairment to greater extent","2022","Both sexes","30 years","Number","142"
"Deafness or hearing impairment to greater extent","2022","Both sexes","31 years","Number","171"
"Deafness or hearing impairment to greater extent","2022","Both sexes","32 years","Number","146"
"Deafness or hearing impairment to greater extent","2022","Both sexes","33 years","Number","138"
"Deafness or hearing impairment to greater extent","2022","Both sexes","34 years","Number","176"
"Deafness or hearing impairment to greater extent","2022","Both sexes","35 years","Number","180"
"Deafness or hearing impairment to greater extent","2022","Both sexes","36 years","Number","222"
"Deafness or hearing impairment to greater extent","2022","Both sexes","37 years","Number","221"
"Deafness or hearing impairment to greater extent","2022","Both sexes","38 years","Number","260"
"Deafness or hearing impairment to greater extent","2022","Both sexes","39 years","Number","243"
"Deafness or hearing impairment to greater extent","2022","Both sexes","40 years","Number","257"
"Deafness or hearing impairment to greater extent","2022","Both sexes","41 years","Number","291"
"Deafness or hearing impairment to greater extent","2022","Both sexes","42 years","Number","309"
"Deafness or hearing impairment to greater extent","2022","Both sexes","43 years","Number","303"
"Deafness or hearing impairment to greater extent","2022","Both sexes","44 years","Number","288"
"Deafness or hearing impairment to greater extent","2022","Both sexes","45 years","Number","296"
"Deafness or hearing impairment to greater extent","2022","Both sexes","46 years","Number","318"
"Deafness or hearing impairment to greater extent","2022","Both sexes","47 years","Number","328"
"Deafness or hearing impairment to greater extent","2022","Both sexes","48 years","Number","366"
"Deafness or hearing impairment to greater extent","2022","Both sexes","49 years","Number","381"
"Deafness or hearing impairment to greater extent","2022","Both sexes","50 years","Number","404"
"Deafness or hearing impairment to greater extent","2022","Both sexes","51 years","Number","372"
"Deafness or hearing impairment to greater extent","2022","Both sexes","52 years","Number","436"
"Deafness or hearing impairment to greater extent","2022","Both sexes","53 years","Number","405"
"Deafness or hearing impairment to greater extent","2022","Both sexes","54 years","Number","470"
"Deafness or hearing impairment to greater extent","2022","Both sexes","55 years","Number","466"
"Deafness or hearing impairment to greater extent","2022","Both sexes","56 years","Number","485"
"Deafness or hearing impairment to greater extent","2022","Both sexes","57 years","Number","527"
"Deafness or hearing impairment to greater extent","2022","Both sexes","58 years","Number","568"
"Deafness or hearing impairment to greater extent","2022","Both sexes","59 years","Number","581"
"Deafness or hearing impairment to greater extent","2022","Both sexes","60 years","Number","587"
"Deafness or hearing impairment to greater extent","2022","Both sexes","61 years","Number","601"
"Deafness or hearing impairment to greater extent","2022","Both sexes","62 years","Number","629"
"Deafness or hearing impairment to greater extent","2022","Both sexes","63 years","Number","694"
"Deafness or hearing impairment to greater extent","2022","Both sexes","64 years","Number","661"
"Deafness or hearing impairment to greater extent","2022","Both sexes","65 years","Number","764"
"Deafness or hearing impairment to greater extent","2022","Both sexes","66 years","Number","760"
"Deafness or hearing impairment to greater extent","2022","Both sexes","67 years","Number","821"
"Deafness or hearing impairment to greater extent","2022","Both sexes","68 years","Number","803"
"Deafness or hearing impairment to greater extent","2022","Both sexes","69 years","Number","911"
"Deafness or hearing impairment to greater extent","2022","Both sexes","70 years","Number","890"
"Deafness or hearing impairment to greater extent","2022","Both sexes","71 years","Number","881"
"Deafness or hearing impairment to greater extent","2022","Both sexes","72 years","Number","955"
"Deafness or hearing impairment to greater extent","2022","Both sexes","73 years","Number","960"
"Deafness or hearing impairment to greater extent","2022","Both sexes","74 years","Number","958"
"Deafness or hearing impairment to greater extent","2022","Both sexes","75 years","Number","997"
"Deafness or hearing impairment to greater extent","2022","Both sexes","76 years","Number","1021"
"Deafness or hearing impairment to greater extent","2022","Both sexes","77 years","Number","1097"
"Deafness or hearing impairment to greater extent","2022","Both sexes","78 years","Number","1029"
"Deafness or hearing impairment to greater extent","2022","Both sexes","79 years","Number","1069"
"Deafness or hearing impairment to greater extent","2022","Both sexes","80 years","Number","1058"
"Deafness or hearing impairment to greater extent","2022","Both sexes","81 years","Number","1027"
"Deafness or hearing impairment to greater extent","2022","Both sexes","82 years","Number","1058"
"Deafness or hearing impairment to greater extent","2022","Both sexes","83 years","Number","999"
"Deafness or hearing impairment to greater extent","2022","Both sexes","84 years","Number","992"
"Deafness or hearing impairment to greater extent","2022","Both sexes","85 years","Number","1012"
"Deafness or hearing impairment to greater extent","2022","Both sexes","86 years","Number","1043"
"Deafness or hearing impairment to greater extent","2022","Both sexes","87 years","Number","995"
"Deafness or hearing impairment to greater extent","2022","Both sexes","88 years","Number","1001"
"Deafness or hearing impairment to greater extent","2022","Both sexes","89 years","Number","895"
"Deafness or hearing impairment to greater extent","2022","Both sexes","90 years","Number","762"
"Deafness or hearing impairment to greater extent","2022","Both sexes","91 years","Number","740"
"Deafness or hearing impairment to greater extent","2022","Both sexes","92 years","Number","577"
"Deafness or hearing impairment to greater extent","2022","Both sexes","93 years","Number","497"
"Deafness or hearing impairment to greater extent","2022","Both sexes","94 years","Number","415"
"Deafness or hearing impairment to greater extent","2022","Both sexes","95 years","Number","313"
"Deafness or hearing impairment to greater extent","2022","Both sexes","96 years","Number","249"
