"Statistic Label","Census Year","Sex","Type of difficulty or condition","Extent of difficulty or condition","Intermediate Occupational Group","UNIT","VALUE"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Transport and mobile machine drivers and operatives","Number","196"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Elementary trades and related occupations","Number","204"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Elementary administration and service occupations","Number","704"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Other occupation/occupation not stated","Number","996"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","All occupational groups","Number","9111"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Corporate managers and directors","Number","364"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Other managers and proprietors","Number","212"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Science, research, engineering and technology professionals","Number","267"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Health professionals","Number","255"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Teaching and educational professionals","Number","250"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Business, media and public service professionals","Number","348"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Science, engineering and technology associate professionals","Number","159"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Health and social care associate professionals","Number","117"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Protective service occupations","Number","60"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Culture, media and sports occupations","Number","105"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Business and public service associate professionals","Number","364"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Administrative occupations","Number","796"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Secretarial and related occupations","Number","116"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Skilled agricultural and related trades","Number","540"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Skilled metal, electrical and electronic trades","Number","377"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Skilled construction and building trades","Number","372"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Textiles, printing and other skilled trades","Number","298"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Caring personal service occupations","Number","603"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Leisure, travel and related personal service occupations","Number","207"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Sales occupations","Number","440"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Customer service occupations","Number","94"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Process, plant and machine operatives","Number","401"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Transport and mobile machine drivers and operatives","Number","412"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Elementary trades and related occupations","Number","256"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Elementary administration and service occupations","Number","762"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Other occupation/occupation not stated","Number","936"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","All occupational groups","Number","9293"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Corporate managers and directors","Number","316"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Other managers and proprietors","Number","200"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Science, research, engineering and technology professionals","Number","196"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Health professionals","Number","180"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Teaching and educational professionals","Number","224"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Business, media and public service professionals","Number","280"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Science, engineering and technology associate professionals","Number","113"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Health and social care associate professionals","Number","83"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Protective service occupations","Number","52"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Culture, media and sports occupations","Number","112"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Business and public service associate professionals","Number","330"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Administrative occupations","Number","857"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Secretarial and related occupations","Number","213"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Skilled agricultural and related trades","Number","385"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Skilled metal, electrical and electronic trades","Number","238"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Skilled construction and building trades","Number","244"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Textiles, printing and other skilled trades","Number","295"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Caring personal service occupations","Number","506"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Leisure, travel and related personal service occupations","Number","196"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Sales occupations","Number","554"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Customer service occupations","Number","128"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Process, plant and machine operatives","Number","299"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Transport and mobile machine drivers and operatives","Number","422"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Elementary trades and related occupations","Number","236"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Elementary administration and service occupations","Number","746"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Basic physical activities","Great Extent","Other occupation/occupation not stated","Number","1888"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","All occupational groups","Number","4643"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Corporate managers and directors","Number","84"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Other managers and proprietors","Number","43"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Science, research, engineering and technology professionals","Number","52"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Health professionals","Number","36"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Teaching and educational professionals","Number","36"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Business, media and public service professionals","Number","61"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Science, engineering and technology associate professionals","Number","38"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Health and social care associate professionals","Number","23"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Protective service occupations","Number","8"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Culture, media and sports occupations","Number","50"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Business and public service associate professionals","Number","90"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Administrative occupations","Number","192"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Secretarial and related occupations","Number","42"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Skilled agricultural and related trades","Number","116"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Skilled metal, electrical and electronic trades","Number","93"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Skilled construction and building trades","Number","103"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Textiles, printing and other skilled trades","Number","110"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Caring personal service occupations","Number","186"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Leisure, travel and related personal service occupations","Number","98"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Sales occupations","Number","440"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Customer service occupations","Number","46"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Process, plant and machine operatives","Number","166"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Transport and mobile machine drivers and operatives","Number","124"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Elementary trades and related occupations","Number","158"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Elementary administration and service occupations","Number","624"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","An intellectual disability","Great Extent","Other occupation/occupation not stated","Number","1624"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","All occupational groups","Number","7776"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Corporate managers and directors","Number","153"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Other managers and proprietors","Number","101"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Science, research, engineering and technology professionals","Number","211"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Health professionals","Number","105"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Teaching and educational professionals","Number","101"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Business, media and public service professionals","Number","158"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Science, engineering and technology associate professionals","Number","108"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Health and social care associate professionals","Number","75"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Protective service occupations","Number","31"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Culture, media and sports occupations","Number","144"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Business and public service associate professionals","Number","215"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Administrative occupations","Number","336"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Secretarial and related occupations","Number","69"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Skilled agricultural and related trades","Number","222"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Skilled metal, electrical and electronic trades","Number","222"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Skilled construction and building trades","Number","235"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Textiles, printing and other skilled trades","Number","222"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Caring personal service occupations","Number","444"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Leisure, travel and related personal service occupations","Number","207"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Sales occupations","Number","615"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Customer service occupations","Number","124"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Process, plant and machine operatives","Number","279"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Transport and mobile machine drivers and operatives","Number","236"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Elementary trades and related occupations","Number","270"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Elementary administration and service occupations","Number","944"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Other occupation/occupation not stated","Number","1949"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","All occupational groups","Number","20484"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Corporate managers and directors","Number","562"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Other managers and proprietors","Number","318"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Science, research, engineering and technology professionals","Number","726"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Health professionals","Number","435"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Teaching and educational professionals","Number","614"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Business, media and public service professionals","Number","758"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Science, engineering and technology associate professionals","Number","450"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Health and social care associate professionals","Number","239"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Protective service occupations","Number","111"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Culture, media and sports occupations","Number","536"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Business and public service associate professionals","Number","1014"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Administrative occupations","Number","1661"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Secretarial and related occupations","Number","374"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Skilled agricultural and related trades","Number","275"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Skilled metal, electrical and electronic trades","Number","353"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Skilled construction and building trades","Number","355"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Textiles, printing and other skilled trades","Number","509"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Caring personal service occupations","Number","1335"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Leisure, travel and related personal service occupations","Number","594"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Sales occupations","Number","1846"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Customer service occupations","Number","630"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Process, plant and machine operatives","Number","624"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Transport and mobile machine drivers and operatives","Number","367"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Elementary trades and related occupations","Number","386"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Elementary administration and service occupations","Number","2227"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Other occupation/occupation not stated","Number","3185"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","All occupational groups","Number","31301"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Corporate managers and directors","Number","1398"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Other managers and proprietors","Number","692"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Science, research, engineering and technology professionals","Number","1153"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Health professionals","Number","1183"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Teaching and educational professionals","Number","1384"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Business, media and public service professionals","Number","1432"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Science, engineering and technology associate professionals","Number","623"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Health and social care associate professionals","Number","450"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Protective service occupations","Number","269"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Culture, media and sports occupations","Number","586"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Business and public service associate professionals","Number","1674"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Administrative occupations","Number","2848"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Secretarial and related occupations","Number","590"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Skilled agricultural and related trades","Number","895"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Skilled metal, electrical and electronic trades","Number","902"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Skilled construction and building trades","Number","919"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Textiles, printing and other skilled trades","Number","878"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Caring personal service occupations","Number","2159"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Leisure, travel and related personal service occupations","Number","733"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Sales occupations","Number","1897"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Customer service occupations","Number","539"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Process, plant and machine operatives","Number","1016"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Transport and mobile machine drivers and operatives","Number","1148"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Elementary trades and related occupations","Number","590"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Elementary administration and service occupations","Number","2360"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Pain, breathing or any other chronic illness or condition","Great Extent","Other occupation/occupation not stated","Number","2983"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","All occupational groups","Number","4898"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Corporate managers and directors","Number","158"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Other managers and proprietors","Number","112"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Science, research, engineering and technology professionals","Number","115"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Health professionals","Number","98"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Teaching and educational professionals","Number","96"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Business, media and public service professionals","Number","127"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Science, engineering and technology associate professionals","Number","45"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Health and social care associate professionals","Number","40"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Protective service occupations","Number","25"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Culture, media and sports occupations","Number","59"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Business and public service associate professionals","Number","144"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Administrative occupations","Number","347"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Secretarial and related occupations","Number","91"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Skilled agricultural and related trades","Number","185"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Skilled metal, electrical and electronic trades","Number","112"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Skilled construction and building trades","Number","172"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Textiles, printing and other skilled trades","Number","156"
